Name,Noise,Distance,Availability,Address,Hours,Picture
Saint Thomas Moore,1,3,1,"268 Park St, New Haven, CT 06511",12am-12am,test.jpg
Bass Library,1,2,1,"110 Wall St, New Haven, CT 06511",8:30am – 2am,bass.jpg
Gilmore Music Library,1,2,1,"120 High St, New Haven, CT 06511",8:30am – 12am,gilmore.jpg
Steep Café,2,3,1,"219 Prospect St, New Haven, CT 06511",8 am and 3pm,steep.jpg
Center for Engineering Innovation and Design (CEID),2,1,1,"15 Prospect St, New Haven, CT 06511",12am-12am,ceid.jpg
William L. Harkness Hall,1,2,1,"100 Wall St, New Haven, CT 06511",12am-12am,harkness.jpg
Robert B. Haas Family Arts Library,1,3,1,"180 York St, New Haven, CT 06511",10 AM–6 PM,hass.jpg
Lillian Goldman Law Library,1,2,1,"127 Wall St, New Haven, CT 06511",12am-12am,test.jpg
GoodLife Center,2,1,1,"50 Hillhouse Ave, New Haven, CT 06511",12am-12am,test.jpg
The Underground,4,1,1,"241 Elm St, New Haven, CT 06511",12am-12am,test.jpg
School of Environment,2,2,1,"195 Prospect St, New Haven, CT 06511",12am-12am,test.jpg
Divinity School Library,1,4,1,"409 Prospect St, New Haven, CT 06511",12am-12am,test.jpg
Graduate New Haven,2,3,1,"1151 Chapel St, New Haven, CT 06511",12am-12am,test.jpg
Cushing/Whitney Medical Library,2,4,1,"333 Cedar St, New Haven, CT 06510",12am-12am,test.jpg
Koffee,3,2,1,"104 Audubon St, New Haven, CT 06510",12am-12am,test.jpg
Fussy Coffee,3,3,1,"290 Winchester Ave, New Haven, CT 06511",12am-12am,test.jpg
Willoughby's (York Street),3,3,1,"258 Church St, New Haven, CT 06510",12am-12am,test.jpg
Humanities Quadrangle,2,2,1,"320 York St, New Haven, CT 06511",12am-12am,test.jpg
Tsai Center,1,1,1,"254 Prospect St, New Haven, CT 06511",12am-12am,test.jpg
Digital Humanities Library,2,2,1,"320 York St, New Haven, CT 06511",12am-12am,test.jpg
School of Management,1,3,1,"165 Whitney Ave, New Haven, CT 06511",12am-12am,test.jpg
